tsne_1,tsne_2,cluster_label,image_path
-16.07624,-21.617504,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/xjanR7IX7tWbyvECRlfR29aTqtT.jpg
11.720004,4.492226,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/wcu2gKcthlP32gAWXCdJfrveulE.jpg
-2.0267334,7.9094467,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/y5WlrLSi5j5oZmmucFezcxQVb3M.jpg
-0.7727668,-18.341213,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/rJLaFLzxwnGKhmwcCPOayV6yY2l.jpg
36.19732,-38.68737,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/u8sxF6fPP6w1TfaZ6IVQyP2cOX4.jpg
28.126747,-28.037418,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/rgeIKAhuSWqxcrFRq9lqybpiLmx.jpg
7.2989616,-10.420534,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/5DvdautM38LKHkoEgsrh3Xvu369.jpg
0.8627916,9.3271,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/2vjC5Xt9JbYGUvestMn5SZduRs.jpg
-29.828297,-3.477266,3,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/acBwTd4U8PcjYViK9xE6KBml9HN.jpg
8.713278,4.939395,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/l5mUjkTteU1j3RoxWiwERQQRPgO.jpg
28.757837,-1.4247491,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/mekjG3Ev970kJmmWRs7kYTxAvom.jpg
17.208145,15.587845,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/f8a5T3qUC0N0bBR8XtFvlAunlro.jpg
-3.0878797,-14.043442,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/fPwBjXBgT8tOmtLuIIrBveYaa7f.jpg
32.12218,5.998048,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/jTUxfSGAJWJdwsZbQPhEO3LkcMx.jpg
-4.7610145,23.163797,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/nkXe3AB33MNtdxBh6BFjNoEDdqI.jpg
-10.000753,26.802298,8,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/7gRwH4w0gihgoDGAPJ5rcYFEZO0.jpg
5.0986314,10.921702,7,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/tfBC2xdtK4X6vhYcGQCMUbhvxF6.jpg
13.48126,-4.8476667,1,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/cOHe3Otd2VUbvFlkuD3wKC0braB.jpg
8.788745,22.179176,5,/home/amnbh/Desktop/Dev Projects/personal/tidytuesday/2023/week-50-holiday-movies/data/posters/kQ1eqZddqCi7eXPqZse3XB60Cxz.jpg
