season_number,story_number,episode_number,episode_title,type,first_aired,uk_viewers,rating,duration,episode,overall_episode_number,writer,director
12,289,3,Orphan 55,episode,2020-01-12,5.38,77,46,12.3 Orphan 55,158,Ed Hime,Lee Haven Jones
12,290,4,Nikola Tesla's Night of Terror,episode,2020-01-19,5.2,79,50,12.4 Nikola Tesla's Night of Terror,159,Nina Metivier,Nida Manzoor
12,291,5,Fugitive of the Judoon,episode,2020-01-26,5.57,83,50,12.5 Fugitive of the Judoon,160,Vinay Patel,Nida Manzoor
12,291,5,Fugitive of the Judoon,episode,2020-01-26,5.57,83,50,12.5 Fugitive of the Judoon,160,Chris Chibnall,Nida Manzoor
12,292,6,Praxeus,episode,2020-02-02,5.22,78,49,12.6 Praxeus,161,Pete McTighe,Jamie Magnus Stone
12,292,6,Praxeus,episode,2020-02-02,5.22,78,49,12.6 Praxeus,161,Chris Chibnall,Jamie Magnus Stone
12,293,7,Can You Hear Me?,episode,2020-02-09,4.9,78,49,12.7 Can You Hear Me?,162,Charlene James,Emma Sullivan
12,293,7,Can You Hear Me?,episode,2020-02-09,4.9,78,49,12.7 Can You Hear Me?,162,Chris Chibnall,Emma Sullivan
12,294,8,The Haunting of Villa Diodati,episode,2020-02-16,5.07,80,49,12.8 The Haunting of Villa Diodati,163,Maxine Alderton,Emma Sullivan
12,295a,9,Ascension of the Cybermen,episode,2020-02-23,4.99,81,49,12.9 Ascension of the Cybermen,164,Chris Chibnall,Jamie Magnus Stone
12,295b,10,The Timeless Children,episode,2020-03-01,4.69,82,65,12.10 The Timeless Children,165,Chris Chibnall,Jamie Magnus Stone
12,296,NA,Revolution of the Daleks,special,2021-01-01,6.36,79,71,12.X Revolution of the Daleks,166,Chris Chibnall,Lee Haven Jones
13,297a,1,The Halloween Apocalypse,episode,2021-10-31,5.81,76,50,13.1 The Halloween Apocalypse,167,Chris Chibnall,Jamie Magnus Stone
13,297b,2,War of the Sontarans,episode,2021-11-07,5.13,77,59,13.2 War of the Sontarans,168,Chris Chibnall,Jamie Magnus Stone
13,297c,3,"Once, Upon Time",episode,2021-11-14,4.7,75,49,"13.3 Once, Upon Time",169,Chris Chibnall,Azhur Saleem
13,297d,4,Village of the Angels,episode,2021-11-21,4.57,79,56,13.4 Village of the Angels,170,Chris Chibnall,Jamie Magnus Stone
13,297d,4,Village of the Angels,episode,2021-11-21,4.57,79,56,13.4 Village of the Angels,170,Maxine Alderton,Jamie Magnus Stone
13,297e,5,Survivors of the Flux,episode,2021-11-28,4.83,77,50,13.5 Survivors of the Flux,171,Chris Chibnall,Azhur Saleem
13,297f,6,The Vanquishers,episode,2021-12-05,4.64,76,59,13.6 The Vanquishers,172,Chris Chibnall,Azhur Saleem
13,298,1,Eve of the Daleks,special,2022-01-01,4.4,77,58,13.1 Eve of the Daleks,173,Chris Chibnall,Annetta Laufer
13,299,2,Legend of the Sea Devils,special,2022-04-17,3.47,76,48,13.2 Legend of the Sea Devils,174,Ella Road,Haolu Wang
13,299,2,Legend of the Sea Devils,special,2022-04-17,3.47,76,48,13.2 Legend of the Sea Devils,174,Chris Chibnall,Haolu Wang
13,300,3,The Power of the Doctor,special,2022-10-23,5.3,82,87,13.3 The Power of the Doctor,175,Chris Chibnall,Jamie Magnus Stone
