year,nearest_overall,n
1998,#FFBFBF,65.91407407407407
1998,#FFBFFF,70.1274074074074
1998,#FFFFBF,32.08
1998,#FFFFFF,133.88444444444443
1999,#000000,262.3377777777778
1999,#00003F,61.25037037037037
1999,#003F3F,15.674074074074074
1999,#003F7F,88.74074074074075
1999,#007F7F,10.198518518518519
1999,#007FBF,13.991111111111113
1999,#3F0000,110.81777777777778
1999,#3F003F,9.570370370370371
1999,#3F3F3F,89.47259259259259
1999,#3F3F7F,16.66962962962963
1999,#3F7F7F,158.11555555555557
1999,#3F7FBF,13.256296296296297
1999,#3FBFBF,25.037037037037035
1999,#7F0000,5.905185185185186
1999,#7F3F3F,33.88740740740741
1999,#7F7F3F,6.231111111111111
1999,#7F7F7F,10.091851851851851
1999,#7F7FBF,10.305185185185186
1999,#7FBFBF,6.305185185185184
1999,#7FBFFF,35.24444444444445
1999,#BF0000,34.808888888888895
1999,#BF003F,15.84888888888889
1999,#BF7F3F,9.937777777777777
1999,#BF7F7F,27.76296296296296
1999,#BFBFBF,101.39555555555555
1999,#BFFFFF,30.263703703703705
1999,#FF7F3F,12.684444444444445
1999,#FFBF3F,25.125925925925927
1999,#FFBF7F,7.62074074074074
1999,#FFBFBF,66.94518518518518
1999,#FFBFFF,42.30222222222223
1999,#FFFFBF,29.75111111111111
1999,#FFFFFF,225.36296296296297
2000,#000000,405.3037037037037
2000,#00007F,11.24148148148148
2000,#0000BF,5.143703703703704
2000,#003F7F,12.444444444444443
2000,#003FBF,11.534814814814814
2000,#007FBF,28.088888888888892
2000,#3F0000,116.58666666666666
