id,chapter,title,date,location,year,chapter_city,latitude,longitude
265319212,rladies-london,Time series forecasting using ARIMA,2019-10-24,inperson,2019,London,51.5074456,-0.1277653
265346733,rladies-amsterdam,GitHub 101: Keep better track of your code,2019-10-24,inperson,2019,Amsterdam,52.3730796,4.8924534
264989042,rladies-stockholm,Basics in R package building: user centered problems and solutions,2019-10-23,inperson,2019,Stockholm,59.3251172,18.0710935
265386597,rladies-bucharest,R-Ladies Bucharest Community #2,2019-10-22,inperson,2019,Bucharest,44.4361414,26.1027202
265361785,rladies-newyork,Using R to Make Psychological Scales and Data Dictionaries,2019-10-22,inperson,2019,"New York, NY",40.7127281,-74.0060152
264888447,rladies-helsinki,ggplot2 for data visualisation,2019-10-22,inperson,2019,Helsinki,60.1674881,24.9427473
265875593,rladies-ames,TidyTuesday,2019-10-22,inperson,2019,"Ames, IA",42.0267567,-93.6170448
265180063,rladies-gainesville,Intro to R and RStudio,2019-10-21,inperson,2019,"Gainesville, FL",29.6519684,-82.3249846
265147577,rladies-east-lansing,Data Wrangling & Visualization in R,2019-10-21,inperson,2019,"East Lansing, MI",42.7320307,-84.4721678
265103899,rladies-philly,October Happy Hour,2019-10-21,inperson,2019,"Philadelphia, PA",39.9527237,-75.1635262
264937931,rladies-cuernavaca,Primer meetup de R-Ladies Cuernavaca: Introducción a R y RStudio,2019-10-21,inperson,2019,Cuernavaca,18.9218274,-99.2342282
265767758,rladies-new-delhi,HacktoberFest ,2019-10-20,inperson,2019,Delhi,28.6273928,77.1716954
265380079,rladies-concepcion,Workshop Interno Rladies,2019-10-19,inperson,2019,Concepción,-36.8270795,-73.0502399
265499932,rladies-novi-sad,Meetup #3 Osnove programiranja u R-u,2019-10-19,inperson,2019,Novi Sad,45.2551338,19.8451756
265284249,rladies-manchester,Manchester Hacktoberfest,2019-10-19,inperson,2019,Manchester,53.4794892,-2.2451148
265592356,rladies-la,Advanced R Book Club Part 5: Debugging!,2019-10-19,inperson,2019,"Los Angeles, CA",34.0536909,-118.242766
265533125,rladies-buenos-aires,"Taller ""R para nerds"" en NERDEARLA",2019-10-19,inperson,2019,Buenos Aires,-34.6075682,-58.4370894
265665924,rladies-xalapa,Visualización de datos en R usando ggplot2,2019-10-19,inperson,2019,Xalapa,19.5408338,-96.9146374
265188390,rladies-lviv,NASA SpaceApps Challenge 2019,2019-10-18,inperson,2019,L'viv,1.3154259000000001,103.84037219810563
265056740,rladies-vancouver,Hackseq19,2019-10-18,inperson,2019,"Vancouver, BC",49.2608724,-123.113952
263843785,rladies-montreal,R-Ladies Meeting: TBC,2019-10-17,inperson,2019,"Montréal, QC",45.5031824,-73.5698065
263596249,rladies-montreal,R-Ladies Meeting: TBC,2019-10-17,inperson,2019,"Montréal, QC",45.5031824,-73.5698065
265374479,rladies-cape-town,Introduction to Natural Language Processing,2019-10-17,inperson,2019,Cape Town,-33.928992,18.417396
264559776,rladies-iowa-city,Data Visualization Using ggplot2!,2019-10-17,inperson,2019,"Iowa City, IA",41.6612561,-91.5299106
265566064,rladies-kyiv,Data Science Study Group,2019-10-16,inperson,2019,Kyiv,50.4500336,30.5241361
265640044,rladies-sao-paulo,13º Meetup - Edição Especial Outubro Rosa: CONRE-3 & R-Ladies São Paulo,2019-10-16,inperson,2019,São Paulo,-1.2043218,-47.1583944
265215598,rladies-kansas-city,Nerding Out: An R-Ladies Social,2019-10-16,inperson,2019,"Kansas City, MO",39.100105,-94.5781416
265326306,rladies-sydney,Gettin' Vizzy Wit It: Tidy Tuesday ,2019-10-16,inperson,2019,Sydney,-33.768528,150.9568559523945
265100301,rladies-san-francisco,Workshop: Transitioning into the tidyverse,2019-10-16,inperson,2019,"San Francisco, CA",37.7790262,-122.419906
265004243,rladies-el-paso,R startup & data-wrangling tutorial,2019-10-16,inperson,2019,"El Paso, TX",31.7550511,-106.488234
265254372,rladies-madrid,R-Ladies Madrid: Talk R in English,2019-10-15,inperson,2019,Madrid,40.4167047,-3.7035825
264920033,rladies-barcelona,Improve your plots with ggplot2,2019-10-15,inperson,2019,Barcelona,41.3828939,2.1774322
264916745,rladies-perth,Book Club - R for Data Science,2019-10-15,inperson,2019,Perth,-31.9558933,115.8605855
265211260,rladies-atlanta,Welcome to the Tidyverse: An Introduction to R for Data Science,2019-10-14,inperson,2019,"Atlanta, GA",33.7489924,-84.3902644
265487064,rladies-new-delhi,R-Ladies Delhi Meetup #1,2019-10-13,inperson,2019,Delhi,28.6273928,77.1716954
265290745,rladies-ankara,R Ladies Ankara Tanışma Toplantısı,2019-10-12,inperson,2019,Ankara,39.7160439,32.7059948
265237120,rladies-istanbul,Ekim Etkinliği - 4.Sezon Açılışı: R Başlangıç Eğitimi,2019-10-12,inperson,2019,Istanbul,41.0766019,29.052495
