word,month,n,month_total,percent,year
pajamas,9,0,29,0,1970.0027397260274
pajamas,10,0,24,0,1970.0027397260274
pajamas,11,0,23,0,1970.0027397260274
pajamas,12,0,21,0,1970.0027397260274
palm,1,1,19,0.05263157894736842,1970.0027397260274
palm,2,0,10,0,1970.0027397260274
palm,3,0,35,0,1970.0027397260274
palm,4,0,20,0,1970.0027397260274
palm,5,0,20,0,1970.0027397260274
palm,6,0,11,0,1970.0027397260274
palm,7,0,24,0,1970.0027397260274
palm,8,0,17,0,1970.0027397260274
palm,9,0,29,0,1970.0027397260274
palm,10,0,24,0,1970.0027397260274
palm,11,0,23,0,1970.0027397260274
palm,12,0,21,0,1970.0027397260274
panes,1,0,19,0,1970.0027397260274
panes,2,0,10,0,1970.0027397260274
panes,3,0,35,0,1970.0027397260274
panes,4,0,20,0,1970.0027397260274
panes,5,0,20,0,1970.0027397260274
panes,6,0,11,0,1970.0027397260274
panes,7,0,24,0,1970.0027397260274
panes,8,0,17,0,1970.0027397260274
panes,9,0,29,0,1970.0027397260274
panes,10,0,24,0,1970.0027397260274
panes,11,1,23,0.043478260869565216,1970.0027397260274
panes,12,0,21,0,1970.0027397260274
panic,1,0,19,0,1970.0027397260274
panic,2,1,10,0.1,1970.0027397260274
panic,3,0,35,0,1970.0027397260274
panic,4,0,20,0,1970.0027397260274
panic,5,0,20,0,1970.0027397260274
panic,6,0,11,0,1970.0027397260274
panic,7,0,24,0,1970.0027397260274
panic,8,0,17,0,1970.0027397260274
panic,9,0,29,0,1970.0027397260274
panic,10,0,24,0,1970.0027397260274
panic,11,0,23,0,1970.0027397260274
panic,12,0,21,0,1970.0027397260274
pants,1,0,19,0,1970.0027397260274
pants,2,0,10,0,1970.0027397260274
pants,3,0,35,0,1970.0027397260274
pants,4,0,20,0,1970.0027397260274
pants,5,0,20,0,1970.0027397260274
pants,6,0,11,0,1970.0027397260274
pants,7,0,24,0,1970.0027397260274
pants,8,1,17,0.058823529411764705,1970.0027397260274
pants,9,0,29,0,1970.0027397260274
pants,10,0,24,0,1970.0027397260274
pants,11,0,23,0,1970.0027397260274
pants,12,0,21,0,1970.0027397260274
parent,1,0,19,0,1970.0027397260274
parent,2,0,10,0,1970.0027397260274
parent,3,1,35,0.02857142857142857,1970.0027397260274
parent,4,0,20,0,1970.0027397260274
parent,5,0,20,0,1970.0027397260274
parent,6,0,11,0,1970.0027397260274
parent,7,0,24,0,1970.0027397260274
parent,8,0,17,0,1970.0027397260274
parent,9,0,29,0,1970.0027397260274
parent,10,0,24,0,1970.0027397260274
parent,11,0,23,0,1970.0027397260274
parent,12,0,21,0,1970.0027397260274
parents,1,0,19,0,1970.0027397260274
parents,2,0,10,0,1970.0027397260274
parents,3,1,35,0.02857142857142857,1970.0027397260274
parents,4,1,20,0.05,1970.0027397260274
parents,5,0,20,0,1970.0027397260274
parents,6,0,11,0,1970.0027397260274
parents,7,0,24,0,1970.0027397260274
parents,8,0,17,0,1970.0027397260274
parents,9,2,29,0.06896551724137931,1970.0027397260274
parents,10,0,24,0,1970.0027397260274
parents,11,0,23,0,1970.0027397260274
parents,12,0,21,0,1970.0027397260274
park,1,0,19,0,1970.0027397260274
park,2,0,10,0,1970.0027397260274
park,3,1,35,0.02857142857142857,1970.0027397260274
park,4,0,20,0,1970.0027397260274
park,5,1,20,0.05,1970.0027397260274
park,6,0,11,0,1970.0027397260274
park,7,0,24,0,1970.0027397260274
park,8,0,17,0,1970.0027397260274
park,9,0,29,0,1970.0027397260274
park,10,1,24,0.041666666666666664,1970.0027397260274
park,11,0,23,0,1970.0027397260274
park,12,0,21,0,1970.0027397260274
parking,1,1,19,0.05263157894736842,1970.0027397260274
parking,2,0,10,0,1970.0027397260274
parking,3,0,35,0,1970.0027397260274
parking,4,0,20,0,1970.0027397260274
parking,5,0,20,0,1970.0027397260274
parking,6,1,11,0.09090909090909091,1970.0027397260274
parking,7,0,24,0,1970.0027397260274
parking,8,0,17,0,1970.0027397260274
parking,9,0,29,0,1970.0027397260274
parking,10,0,24,0,1970.0027397260274
parking,11,0,23,0,1970.0027397260274
parking,12,1,21,0.047619047619047616,1970.0027397260274
partially,1,0,19,0,1970.0027397260274
partially,2,0,10,0,1970.0027397260274
partially,3,0,35,0,1970.0027397260274
partially,4,0,20,0,1970.0027397260274
partially,5,1,20,0.05,1970.0027397260274
partially,6,0,11,0,1970.0027397260274
partially,7,0,24,0,1970.0027397260274
partially,8,0,17,0,1970.0027397260274
partially,9,1,29,0.034482758620689655,1970.0027397260274
partially,10,0,24,0,1970.0027397260274
partially,11,0,23,0,1970.0027397260274
partially,12,0,21,0,1970.0027397260274
participants,1,0,19,0,1970.0027397260274
participants,2,1,10,0.1,1970.0027397260274
participants,3,0,35,0,1970.0027397260274
participants,4,0,20,0,1970.0027397260274
participants,5,0,20,0,1970.0027397260274
participants,6,0,11,0,1970.0027397260274
participants,7,0,24,0,1970.0027397260274
participants,8,0,17,0,1970.0027397260274
participants,9,0,29,0,1970.0027397260274
participants,10,0,24,0,1970.0027397260274
participants,11,0,23,0,1970.0027397260274
participants,12,0,21,0,1970.0027397260274
partygoer,1,0,19,0,1970.0027397260274
partygoer,2,0,10,0,1970.0027397260274
partygoer,3,0,35,0,1970.0027397260274
partygoer,4,0,20,0,1970.0027397260274
partygoer,5,0,20,0,1970.0027397260274
partygoer,6,0,11,0,1970.0027397260274
partygoer,7,0,24,0,1970.0027397260274
partygoer,8,0,17,0,1970.0027397260274
partygoer,9,0,29,0,1970.0027397260274
partygoer,10,1,24,0.041666666666666664,1970.0027397260274
partygoer,11,0,23,0,1970.0027397260274
partygoer,12,0,21,0,1970.0027397260274
passed,1,0,19,0,1970.0027397260274
passed,2,0,10,0,1970.0027397260274
passed,3,0,35,0,1970.0027397260274
passed,4,0,20,0,1970.0027397260274
passed,5,0,20,0,1970.0027397260274
passed,6,0,11,0,1970.0027397260274
passed,7,0,24,0,1970.0027397260274
passed,8,0,17,0,1970.0027397260274
passed,9,1,29,0.034482758620689655,1970.0027397260274
passed,10,0,24,0,1970.0027397260274
passed,11,0,23,0,1970.0027397260274
passed,12,0,21,0,1970.0027397260274
passenger,1,0,19,0,1970.0027397260274
passenger,2,0,10,0,1970.0027397260274
