name,type,ra,dec,image
Hourglass Nebula,Nebula,204.896067043395,-67.3810440489442,http://commons.wikimedia.org/wiki/Special:FilePath/MyCn18-crop.png
Hyades,Cluster,66.725,15.866667,http://commons.wikimedia.org/wiki/Special:FilePath/Hyades.jpg
Hydra Cluster,Cluster,159.15,-27.51778,http://commons.wikimedia.org/wiki/Special:FilePath/Hyamap.gif
I Zwicky 18,Galaxy,143.50875,55.24028,http://commons.wikimedia.org/wiki/Special:FilePath/I%20Zwicky%2018a.jpg
IC 10,Galaxy,5.0965,59.292972,NA
IC 1284,Nebula,274.425,-19.667,http://commons.wikimedia.org/wiki/Special:FilePath/N6590s.jpg
IC 1296,Galaxy,283.3284625,33.0665639,http://commons.wikimedia.org/wiki/Special:FilePath/IC%201296%20%28crop%29.jpg
IC 1396,Cluster,324.75,57.49,http://commons.wikimedia.org/wiki/Special:FilePath/54345main%20ic1396%20highres.jpg
IC 1396,Nebula,324.75,57.49,http://commons.wikimedia.org/wiki/Special:FilePath/54345main%20ic1396%20highres.jpg
IC 1590,Cluster,13.2042,56.6283,http://commons.wikimedia.org/wiki/Special:FilePath/IC%201590%20HST.jpg
IC 1795,Nebula,36.43125,62.10361,NA
IC 1871,Nebula,45.75,60.4,http://commons.wikimedia.org/wiki/Special:FilePath/Soul%20Pillar%20%2848344101782%29.png
IC 2118,Nebula,75.5,-7.9,http://commons.wikimedia.org/wiki/Special:FilePath/Witch%20head%20nebula.jpg
IC 2163,Galaxy,94.1165267486394,-21.3758731539562,http://commons.wikimedia.org/wiki/Special:FilePath/NGC2207%2BIC2163.jpg
IC 2177,Nebula,106.1042,-10.455,http://commons.wikimedia.org/wiki/Special:FilePath/Seagull%20Nebula.jpg
IC 2497,Galaxy,145.2669833,34.7329361,http://commons.wikimedia.org/wiki/Special:FilePath/Hannys%20voorwerp.jpg
IC 2574,Galaxy,157.0984185727703,68.4120670459305,http://commons.wikimedia.org/wiki/Special:FilePath/IC%202574%20Hubble%20WikiSky.jpg
IC 2944,Nebula,174.58333,-63.37278,http://commons.wikimedia.org/wiki/Special:FilePath/The%20Very%20Large%20Telescope%20Snaps%20a%20Stellar%20Nursery%20and%20Celebrates%20Fifteen%20Years%20of%20Operations.jpg
IC 342,Galaxy,56.7021417,68.0961056,http://commons.wikimedia.org/wiki/Special:FilePath/IC342%20RGB2.jpg
IC 348,Star,56.1417,32.1633,http://commons.wikimedia.org/wiki/Special:FilePath/Hubble%20image%20of%20LRLL%2054361%20and%20its%20surroundings.tif
IC 348,Cluster,56.1417,32.1633,http://commons.wikimedia.org/wiki/Special:FilePath/Hubble%20image%20of%20LRLL%2054361%20and%20its%20surroundings.tif
IC 405,Nebula,79.35,34.383,http://commons.wikimedia.org/wiki/Special:FilePath/FlamingStarHunterWilson.jpg
IC 417,Nebula,82.025,34.417,http://commons.wikimedia.org/wiki/Special:FilePath/Ic417s.jpg
IC 417,Cluster,82.025,34.417,http://commons.wikimedia.org/wiki/Special:FilePath/Ic417s.jpg
IC 434,Nebula,85.25,-2.5,http://commons.wikimedia.org/wiki/Special:FilePath/HorseheadHunterWilson.jpg
IC 4406,Nebula,215.6089349020639,-44.1506126185128,http://commons.wikimedia.org/wiki/Special:FilePath/Retinanebel.jpg
IC 443,Nebula,94.51125,22.66,http://commons.wikimedia.org/wiki/Special:FilePath/IC443.jpeg
IC 447,Nebula,97.75,10.1,http://commons.wikimedia.org/wiki/Special:FilePath/IC2169.jpg
IC 4592,Nebula,243.25,-19.3,http://commons.wikimedia.org/wiki/Special:FilePath/Rho%20Ophiucus%20Widefield.jpg
IC 4605,Nebula,247.75,-25.1,http://commons.wikimedia.org/wiki/Special:FilePath/Ic4605s.jpg
IC 4665,Cluster,266.575,5.7167,http://commons.wikimedia.org/wiki/Special:FilePath/IC%204665.png
IC 4970,Galaxy,304.24125,-70.74917,http://commons.wikimedia.org/wiki/Special:FilePath/IC%204970%20by%20Hubble.jpg
IC 59,Nebula,14.426667,61.083278,http://commons.wikimedia.org/wiki/Special:FilePath/Ic59s.jpg
IC 63,Nebula,14.755708,60.888278,http://commons.wikimedia.org/wiki/Special:FilePath/Ic63s.jpg
Iota Piscis Austrini,Star,326.2367069546779,-33.02578182224082,http://commons.wikimedia.org/wiki/Special:FilePath/Piscis%20Austrinus%20constellation%20map%20ru%20lite.png
Iris Nebula,Nebula,315.398333,68.1633,http://commons.wikimedia.org/wiki/Special:FilePath/Iris1HunterWilson.jpg
Jewel Box,Cluster,193.4125,-60.3617,http://commons.wikimedia.org/wiki/Special:FilePath/A%20Snapshot%20of%20the%20Jewel%20Box%20cluster%20with%20the%20ESO%20VLT.jpg
Jones-Emberson 1,Nebula,119.4650727427556,53.4213732030018,http://commons.wikimedia.org/wiki/Special:FilePath/Jones-Emberson1HunterWilson.jpg
